#,Player,Team,GP,GS,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
122,JALEN ADAMS,MTA,23,8,364:32,154,36,76,47.4%,20,56,35.7%,22,26,84.6%,8,24,32,31,13,23,2,7,41,26,107
123,GABRIELE PROCIDA,BER,26,4,385:46,154,36,59,61%,19,77,24.7%,25,33,75.8%,17,31,48,13,13,23,7,4,36,27,110
124,ALEN SMAILAGIC,PAR,24,10,250:57,121,31,53,58.5%,14,32,43.8%,17,27,63%,29,22,51,9,13,13,9,5,51,30,114
124,NIKOLA IVANOVIC,CZV,19,1,302:27,94,17,36,47.2%,15,47,31.9%,15,18,83.3%,9,21,30,36,17,15,0,1,20,27,114
126,OGNJEN JARAMAZ,BAY,24,5,377:53,152,26,59,44.1%,18,56,32.1%,46,52,88.5%,4,26,30,37,8,29,1,5,51,52,118
127,ISAIA CORDINIER,VIR,19,6,342:29,125,33,57,57.9%,11,46,23.9%,26,33,78.8%,8,40,48,29,16,25,2,1,43,35,120
128,KEVIN PANGOS,EA7,15,10,375:23,137,25,51,49%,26,87,29.9%,9,12,75%,4,33,37,52,10,24,0,5,36,40,121
129,HASSAN MARTIN,CZV,22,3,312:22,107,43,74,58.1%,0,0,0%,21,31,67.7%,13,53,66,10,11,18,9,7,39,26,124
129,DEE BOST,ASV,14,14,362:52,131,11,29,37.9%,29,97,29.9%,22,30,73.3%,6,25,31,60,16,22,2,2,31,33,124
129,DANILO ANDJUSIC,PAR,23,2,300:15,155,19,37,51.4%,25,56,44.6%,42,48,87.5%,3,18,21,27,6,30,2,2,36,36,124
132,SERGIO LLULL,RMB,23,2,415:31,154,16,52,30.8%,29,97,29.9%,35,39,89.7%,1,31,32,58,8,26,0,3,27,40,128
133,STEFANO TONUT,EA7,23,3,353:35,103,29,46,63%,12,31,38.7%,9,14,64.3%,10,39,49,23,13,11,0,4,21,20,131
133,STEVEN ENOCH,BKN,23,6,300:15,120,45,74,60.8%,3,9,33.3%,21,33,63.6%,23,45,68,4,6,16,9,3,35,25,131
135,NIGEL WILLIAMS-GOSS,RMB,19,16,272:21,123,43,68,63.2%,8,21,38.1%,13,19,68.4%,4,26,30,35,13,17,0,2,31,25,132
135,JARON BLOSSOMGAME,ASM,31,16,553:09,158,44,76,57.9%,16,65,24.6%,22,40,55%,28,56,84,6,12,12,4,2,62,43,132
137,JONAH RADEBAUGH,VBC,33,17,567:07,186,42,84,50%,27,78,34.6%,21,22,95.5%,10,45,55,44,22,25,7,9,74,23,135
137,VLADIMIR LUCIC,BAY,16,13,388:01,140,21,51,41.2%,21,46,45.7%,35,37,94.6%,13,29,42,12,12,15,2,5,35,39,135
139,CARSEN EDWARDS,FBB,29,2,456:46,226,46,105,43.8%,35,99,35.4%,29,34,85.3%,5,32,37,32,17,30,2,9,53,42,136
140,ALESSANDRO PAJOLA,VIR,29,0,483:51,89,21,42,50%,12,37,32.4%,11,15,73.3%,10,41,51,73,36,24,0,4,64,35,142
140,TARIK BLACK,OLY,27,1,281:42,128,43,65,66.2%,0,0,0%,42,56,75%,26,20,46,15,16,25,7,2,60,53,142
140,MARCO BELINELLI,VIR,20,0,330:52,188,23,52,44.2%,39,98,39.8%,25,26,96.2%,3,25,28,21,9,11,0,4,23,23,142
143,TIMOTHE LUWAWU-CABARROT,EA7,24,17,516:51,226,63,123,51.2%,24,72,33.3%,28,34,82.4%,14,49,63,26,15,43,2,6,62,37,144
144,VICTOR CLAVER,VBC,29,11,515:24,138,21,38,55.3%,25,61,41%,21,26,80.8%,15,61,76,26,23,26,3,3,64,30,145
145,YAM MADAR,PAR,32,19,424:34,186,45,90,50%,22,61,36.1%,30,34,88.2%,8,22,30,47,20,27,5,6,57,36,146
146,AMINE NOUA,ASV,29,19,581:54,193,46,92,50%,29,85,34.1%,14,20,70%,17,70,87,23,9,31,7,12,46,25,147
147,ALEC PETERS,OLY,30,3,423:17,152,24,51,47.1%,28,67,41.8%,20,21,95.2%,21,58,79,13,13,19,4,5,50,29,149
147,FACUNDO CAMPAZZO,CZV,8,6,222:11,111,18,33,54.5%,15,44,34.1%,30,33,90.9%,2,20,22,50,15,23,0,2,17,40,149
149,CHARLES KAHUDI,ASV,28,11,529:09,177,32,67,47.8%,27,76,35.5%,32,36,88.9%,16,53,69,12,11,21,4,2,50,43,155
150,SERTAC SANLI,BAR,30,18,538:39,192,54,89,60.7%,20,77,26%,24,28,85.7%,27,68,95,32,8,31,17,6,85,32,158
150,JOSEP PUERTO,VBC,32,22,515:12,146,24,43,55.8%,26,52,50%,20,24,83.3%,18,54,72,18,10,19,1,4,57,40,158
152,KYLE WEEMS,VIR,28,7,503:25,179,37,69,53.6%,31,77,40.3%,12,16,75%,23,52,75,27,19,18,3,7,52,15,159
152,IOANNIS PAPAPETROU,PAR,32,21,661:25,163,40,94,42.6%,22,64,34.4%,17,23,73.9%,17,63,80,30,17,20,7,4,54,42,159
154,ANDREAS OBST,BAY,24,13,478:10,236,16,35,45.7%,65,162,40.1%,9,9,100%,3,42,45,32,15,26,2,7,44,23,160
155,MIKE TOBEY,BAR,26,12,380:46,153,39,54,72.2%,23,54,42.6%,6,6,100%,27,50,77,14,5,10,5,3,46,12,161
156,ALEX ABRINES,BAR,29,4,482:07,196,15,40,37.5%,48,101,47.5%,22,26,84.6%,16,41,57,21,17,18,3,1,68,37,162
157,LUKAS LEKAVICIUS,ZAL,28,4,443:11,183,43,77,55.8%,20,58,34.5%,37,41,90.2%,3,27,30,42,7,39,2,6,39,60,164
157,TONYE JEKIRI,FBB,24,5,315:40,120,51,76,67.1%,0,1,0%,18,25,72%,32,46,78,21,10,13,4,5,45,27,164
159,NIELS GIFFEY,BAY,25,4,488:31,171,35,68,51.5%,25,54,46.3%,26,28,92.9%,22,44,66,17,16,14,1,4,52,28,165
160,KYLE ALEXANDER,VBC,26,7,378:42,148,65,99,65.7%,2,11,18.2%,12,18,66.7%,31,47,78,10,8,12,14,5,51,26,167
161,DEVON HALL,EA7,24,20,724:44,188,34,82,41.5%,26,80,32.5%,42,50,84%,10,48,58,57,22,42,3,6,54,56,172
161,JOEL BOLOMBOY,OLY,29,1,354:35,121,45,76,59.2%,2,4,50%,25,36,69.4%,37,55,92,17,7,21,8,7,45,44,172
163,JOHANNES VOIGTMANN,EA7,29,14,451:56,128,29,60,48.3%,21,70,30%,7,14,50%,33,80,113,43,11,22,8,2,37,20,175
164,YOVEL ZOOSMAN,BER,26,5,563:08,175,45,82,54.9%,21,70,30%,22,25,88%,28,48,76,46,26,25,6,8,62,36,181
165,SERGIO RODRIGUEZ,RMB,32,3,456:27,129,26,55,47.3%,20,66,30.3%,17,21,81%,4,45,49,134,11,36,0,4,53,31,182
165,BEN LAMMERS,BER,28,15,461:06,183,69,136,50.7%,9,31,29%,18,21,85.7%,32,50,82,22,25,16,21,6,53,16,182
165,PIERRIA HENRY,BKN,13,1,311:19,129,38,74,51.4%,8,31,25.8%,29,36,80.6%,5,31,36,80,18,31,2,2,25,41,182
168,NATE WOLTERS,PAO,22,16,473:03,179,55,108,50.9%,18,52,34.6%,15,18,83.3%,12,42,54,66,15,20,2,11,46,35,184
169,KLEMEN PREPELIC,VBC,27,11,500:18,192,21,42,50%,28,104,26.9%,66,70,94.3%,3,17,20,84,13,34,3,2,54,64,185
170,YANNI WETZELL,BER,30,1,375:09,195,78,148,52.7%,0,0,0%,39,56,69.6%,33,52,85,14,9,25,13,13,52,47,186
171,ALEX TYUS,ASV,24,5,425:25,136,59,85,69.4%,0,1,0%,18,29,62.1%,38,65,103,10,12,20,20,6,48,22,191
172,RETIN OBASOHAN,ASV,33,13,716:41,229,67,140,47.9%,16,73,21.9%,47,59,79.7%,11,41,52,73,38,55,5,8,93,95,194
173,TIBOR PLEISS,EFS,32,19,477:07,199,68,113,60.2%,14,44,31.8%,21,23,91.3%,32,51,83,15,7,21,11,5,45,28,195
174,SHABAZZ NAPIER,EA7,12,10,297:31,180,19,42,45.2%,31,68,45.6%,49,56,87.5%,4,17,21,47,13,24,0,3,27,57,197
174,MARIUS GRIGONIS,PAO,26,7,463:36,210,21,50,42%,35,80,43.8%,63,75,84%,8,31,39,43,9,31,0,4,62,79,197
174,BRYANT DUNSTON,EFS,29,2,394:20,125,48,72,66.7%,0,5,0%,29,38,76.3%,35,48,83,16,22,16,13,5,54,51,197
177,ROKAS JOKUBAITIS,BAR,33,0,477:18,166,41,103,39.8%,15,35,42.9%,39,49,79.6%,10,52,62,80,7,28,0,10,39,55,201
177,ISAAC BONGA,BAY,29,21,591:26,185,40,97,41.2%,20,59,33.9%,45,55,81.8%,48,70,118,31,23,31,3,6,73,57,201
179,GIANNOULIS LARENTZAKIS,OLY,33,0,526:34,248,30,60,50%,52,132,39.4%,32,43,74.4%,13,51,64,41,18,39,2,3,71,63,202
180,DAVID LIGHTY,ASV,27,18,617:51,219,55,118,46.6%,22,51,43.1%,43,59,72.9%,22,45,67,41,18,37,1,11,53,67,204
181,DEVIN BOOKER,FBB,31,12,654:25,181,49,91,53.8%,17,53,32.1%,32,42,76.2%,49,54,103,33,11,19,19,3,80,49,206
182,JOHN DIBARTOLOMEO,MTA,33,1,547:37,194,16,38,42.1%,42,96,43.8%,36,37,97.3%,19,41,60,38,25,17,0,7,75,66,207
183,ACHILLE POLONARA,"EFS, ZAL",31,9,466:42,123,22,42,52.4%,21,52,40.4%,16,25,64%,16,89,105,28,11,12,18,7,33,35,208
184,DYSHAWN PIERRE,FBB,23,16,455:46,156,34,69,49.3%,25,50,50%,13,22,59.1%,25,57,82,34,6,19,5,4,20,38,209
